name,Kommune
Aachen,Aachen
Aachener Stadtbetrieb (E18),Aachen
Bezirksamt Brand,Aachen
Geoservice der Stadt Aachen,Aachen
GeoService der StädteRegion Aachen,Aachen
GeoService StädteRegion Aachen,Aachen
Krisenstäbe der Stadt und StädteRegion Aachen,Aachen
netAachen,Aachen
"Stadt Aachen, Fachbereich Geoinformation und Bodenordnung",Aachen
"Stadt Aachen, Fachbereich Geoinformation und Bodenordnung FB 62",Aachen
"Stadt Aachen, Fachbereich Stadtentwicklung und Verkehrsanlagen FB 61",Aachen
"Stadt Aachen, Fachbereich Umwelt",Aachen
"Stadt Aachen, Fachbereich Umwelt",Aachen
"Stadt Aachen, FB 02/200 Statistik",Aachen
"Stadt Aachen, FB 02/200 Statistik und Stadtforschung",Aachen
"Stadt Aachen, FB 02/3 Statistik und Stadtforschung",Aachen
"Stadt Aachen, FB02/3 Statistik und Stadtforschung",Aachen
"Stadt Aachen, Stabsstelle Klimaschutz",Aachen
StädteRegion Aachen,Aachen
"Stadt Aachen, FB 01/201 Statistik",Aachen
Gemeinde Algermissen,Algermissen
Stadt Alsdorf,Alsdorf
Gemeinde Altenberge,Altenberge
Stadtverwaltung Alzey,Alzey
Gemeinde Am Ettersberg und der beauftragenden Gemeinden,Am Ettersberg 
Gemeinde Am Ohmberg,Am Ohmberg
Stadt Amberg,Amberg
Amt Beetzsee,Amt Beetzsee
Amt Dänischenhagen,Amt Dänischenhagen
Amt Eidertal,Amt Eidertal
Amt Eidertal -Der Amtsdirektor-,Amt Eidertal
Amt Elmshorn-Land,Amt Elmshorn-Land
Amt Haddeby,Amt Haddeby
Amt Lenzen-Elbtalaue,Amt Lenzen-Elbtalaue
Amt Nortorfer Land,Amt Nortorfer Land
Amt Odervorland,Amt Odervorland
Amt Schlei-Ostsee,Amt Schlei-Ostsee
Amt Süderbrarup,Amt Süderbrarup
Stadt An der Schmücke,An der Schmücke
Stadt An der Schmücke und der beauftragenden Gemeinden,An der Schmücke
ST Andernach,Andernach
Stadt Andernach,Andernach
Stadtverwaltung Andernach,Andernach
Stadt Apolda,Apolda
Bezirksregierung Arnsberg,Arnsberg
Stadt Arnsberg,Arnsberg
Stadt Artern und der beauftragenden Gemeinden,Artern
Verbandsgemeinde Asbach,Asbach
Verbandsgemeindeverwaltung Asbach,Asbach
Stadt Aschaffenburg,Aschaffenburg
Hansestadt Attendorn,Attendorn
"Amt für Digitalisierung, Breitband und Vermessung Augsburg",Augsburg
Staatstheater Augsburg,Augsburg
Stadt Augsburg,Augsburg
"Amt für Statistik und Stadtforschung, Stadt Augsburg",Augsburg
Geschäftsstelle Open Data der Stadt Augsburg,Augsburg
Radverkehrsbeauftragter der Stadt Augsburg,Augsburg
Stadtbücherei Augsburg,Augsburg
Geschäftsstelle Open Data der Stadt Augsburg,Augsburg
Geschäftsstelle Open Data Stadt Augsburg,Augsburg
"Stadt Augsburg Amt für Digitalisierung, Organisation und Informationstechnik",Augsburg
Stadt Augsburg Marktamt,Augsburg
"Stadt Augsburg, Amt für Digitalisierung, Organisation und Informationstechnik",Augsburg
Auma-Weidatal,Auma-Weidatal
Stadt Auma-Weidatal,Auma-Weidatal
Bad Berka,Bad Berka
Stadt Bad Berka,Bad Berka
Bad Blankenburg,Bad Blankenburg
Stadt Bad Blankenburg,Bad Blankenburg
Verbandsgemeinde Bad Ems-Nassau,Bad Ems-Nassau
Stadt Bad Frankenhausen/Kyffhäuser,Bad Frankenhausen/Kyffhäuser
Stadt Bad Köstritz und der beauftragenden Gemeinden,Bad Köstritz
Verbandsgemeindeverwaltung Bad Kreuznach,Bad Kreuznach
Stadt Bad Langensalza,Bad Langensalza
Stadt Bad Lobenstein,Bad Lobendsten
Verbandsgemeindeverwaltung Bad Marienberg (Westerwald),Bad Marienberg (Westerwald)
Bad Münstereifel,Bad Münstereifel
Stadt Bad Nauheim,Bad Nauheim
Amt Bad Oldesloe-Land,Bad Oldesloe
Stadt Bad Salzuflen,Bad Salzuflen
Stadt Bad Segeberg (Betriebe gewerblicher Art ),Bad Segeberg
Stadtverwaltung Bad Sulza,Bad Sulza
Bad Sulza,Bad Sulza
Stadt Bad Sulza und der beauftragenden Gemeinden,Bad Sulza
"Amt für Digitalisierung, Breitband und Vermessung Bamberg - Fachbereich Informations- und Kommunikationstechnik",Bamberg
Smart City Bamberg,Bamberg
Stadt Bamberg,Bamberg
Stadt Barsbüttel,Barsbüttel
Stadt Bassum,Bassum
Landratsamt Bautzen,Bautzen
Bedburg,Bedburg
bendorf,Bendorf
Stadt Bendorf,Bendorf
Stadt Berga/Elster,Berga/Elster
Stadt Berga-Wünschendorf,Berga-Wünschendorf
Bergheim,Bergheim
Stadt Bergkamen,Bergkamen
"BA Mitte, OE QPK",Berlin
Berliner Feuerwehr,Berlin
Berliner Forsten,Berlin
Berliner Stadtreinigung (BSR),Berlin
Berliner Vermessungsämter,Berlin
"Berliner Wasserbetriebe, Organisationseinheit: Wasserversorgung",Berlin
"Bezirksamt Charlottenburg-Wilmersdorf von Berlin, Umwelt- und Naturschutzamt",Berlin
Bezirksamt Friedrichshain-Kreuzberg,Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,Berlin
"Bezirksamt Friedrichshain-Kreuzberg von Berlin, Abteilung Bauen, Planen und Facility ManagementServiceeinheit Facility ManagementFachbereich Hochbauservice Energiemanagement, FM-Hoch 4.EWG",Berlin
"Bezirksamt Friedrichshain-Kreuzberg, Finanzservice",Berlin
Bezirksamt Friedrichshain-Kreuzberg/ Bezirksbürgermeisterbüro,Berlin
Bezirksamt Friedrichshain-Kreuzberg/ Jugendamt,Berlin
Bezirksamt Lichtenberg,Berlin
Bezirksamt Lichtenberg - Stadtentwicklungsamt,Berlin
"Bezirksamt Lichtenberg, Abteilung Personal, Finanzen, Immobilien und Kultur Serviceeinheit Facility Management",Berlin
Bezirksamt Marzahn-Hellersdorf von Berlin Jugendamt,Berlin
"Bezirksamt Marzahn-Hellersdorf von Berlin, Finanzservice",Berlin
"Bezirksamt Marzahn-Hellersdorf von Berlin, SE Facility Management",Berlin
"Bezirksamt Marzahn-Hellersdorf von Berlin, SE Finanzen",Berlin
"Bezirksamt Marzahn-Hellersdorf, Finanzservice",Berlin
Bezirksamt Mitte - Facility Management,Berlin
Bezirksamt Pankow,Berlin
Bezirksamt Steglitz-Zehlendorf,Berlin
"Bezirksamt Steglitz-Zehlendorf - Abt. Immobilien, Umwelt und Tiefbau, Serviceeinheit Facility Management",Berlin
Bezirksamt Steglitz-Zehlendorf - Büro der Bezirksbürgermeisterin,Berlin
Bezirksamt Steglitz-Zehlendorf - Jugendamt,Berlin
Bezirksamt Steglitz-Zehlendorf - Schulamt und Hochbauamt,Berlin
Bezirksamt Steglitz-Zehlendorf - Straßen- und Grünflächenamt,Berlin
Bezirksamt Tempelhof-Schöneberg,Berlin
Bezirksamt Tempelhof-Schöneberg - Finanzservice,Berlin
Bezirksamt Treptow-Köpenick - Büro Bezirksbürgermeister,Berlin
"Bezirksamt Treptow-Köpenick, Büro des Bezirksbürgermeisters",Berlin
Bezirsamt Treptow-Köpenick von Berlin,Berlin
